ACTUAL_DATES,NEW_DATE,BC_1MONTH,BC_2MONTH,BC_3MONTH,BC_4MONTH,BC_5MONTH,BC_6MONTH,BC_7MONTH,BC_8MONTH,BC_9MONTH,BC_10MONTH,BC_11MONTH,BC_1YEAR,BC_2YEAR,BC_3YEAR,BC_4YEAR,BC_5YEAR,BC_6YEAR,BC_7YEAR,BC_8YEAR,BC_9YEAR,BC_10YEAR,BC_15YEAR,BC_20YEAR,BC_25YEAR,BC_30YEAR,BC_30YEARDISPLAY
3/7/2019,3/7/2019,,,-0.40901984,-0.394999353,-0.381266651,-0.367803937,-0.354594293,-0.341621642,-0.328870718,-0.31632703,-0.303976828,-0.291807077,-0.155949102,-0.029901483,0.093594968,0.21715795,0.340973586,0.464105504,0.585238777,0.703076236,0.816526558,1.298310029,1.637179904,1.869039561,2.031164035,2.031164035
3/8/2019,3/8/2019,,,-0.42261884,-0.407509672,-0.3927134,-0.378213556,-0.363994405,-0.350040918,-0.336338745,-0.322874189,-0.309634179,-0.296606251,-0.153004066,-0.023727006,0.099335489,0.219912422,0.339242069,0.457248472,0.57325256,0.686384506,0.795807901,1.26926464,1.613141975,1.853913487,2.024500813,2.024500813
3/9/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/11/2019,3/11/2019,,,-0.413017161,-0.396235659,-0.379896318,-0.363977122,-0.348456979,-0.333315684,-0.318533886,-0.304093058,-0.289975469,-0.276164151,-0.129069153,-0.003431716,0.112720399,0.225482681,0.3374624,0.449301033,0.56062314,0.670609958,0.778331121,1.258448361,1.619336597,1.876734131,2.060802047,2.060802047
3/12/2019,3/12/2019,,,-0.412337694,-0.395283472,-0.378666258,-0.362464442,-0.346657319,-0.331225055,-0.31614866,-0.301409949,-0.286991523,-0.272876729,-0.122033553,0.007299935,0.126863289,0.242635698,0.357182555,0.471149087,0.584189791,0.69552919,0.804285299,1.286377118,1.646758682,1.903112323,2.08620121,2.08620121
3/13/2019,3/13/2019,,,-0.406862631,-0.388155077,-0.369984483,-0.352325154,-0.335152444,-0.318442717,-0.302173314,-0.286322513,-0.270869502,-0.255794338,-0.098167374,0.031935863,0.149052091,0.260890265,0.371048535,0.480756598,0.58997078,0.698044,0.804120323,1.279860483,1.640061731,1.897854158,2.082471964,2.082471964
3/14/2019,3/14/2019,,,-0.408195635,-0.39314626,-0.378353748,-0.363807234,-0.349496259,-0.33541076,-0.321541057,-0.307877838,-0.294412149,-0.28113538,-0.13384146,-0.001855456,0.121527024,0.240046964,0.355571196,0.468826287,0.57988462,0.68847927,0.794201886,1.266767759,1.632761132,1.903148222,2.101660922,2.101660922
3/15/2019,3/15/2019,,,-0.426553037,-0.408977885,-0.391824003,-0.375073084,-0.358707512,-0.342710334,-0.327065244,-0.311756557,-0.29676919,-0.282088643,-0.12528955,0.007395968,0.127345384,0.241005128,0.351709178,0.460892884,0.568890253,0.675446939,0.780041233,1.254886156,1.626037233,1.899597813,2.099483663,2.099483663
3/16/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/17/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/18/2019,3/18/2019,,,-0.446603131,-0.429588624,-0.412937292,-0.39663274,-0.380659227,-0.365001648,-0.349645505,-0.33457689,-0.319782466,-0.305249442,-0.147255191,-0.00955228,0.11733482,0.238493968,0.356342595,0.471743565,0.584715834,0.69487507,0.801696722,1.271086591,1.622408175,1.874244087,2.05527829,2.05527829
3/19/2019,3/19/2019,,,-0.449439899,-0.430855478,-0.412705975,-0.394972772,-0.37763796,-0.360684315,-0.344095273,-0.327854912,-0.311947926,-0.296359605,-0.129532229,0.011710935,0.138846791,0.258377205,0.373690101,0.486290448,0.596601043,0.704472349,0.809497757,1.277301635,1.634603326,1.894225056,2.082339742,2.082339742
